,0
dir_24h_abs_imbalance,0.35843445135497737
vol_48h_pct_total,0.35315936012987104
vol_72h_pct_total,0.3257028919140213
vol_24h_pct_total,0.31909317073177756
dir_48h_abs_imbalance,0.30571678996151685
vol_48h_spike_ratio,0.2890266876711729
dir_12h_abs_imbalance,0.2729241163692951
vol_72h_spike_ratio,0.2645148651228665
vol_24h_spike_ratio,0.2621143368850666
dir_72h_abs_imbalance,0.24401706803602932
vol_12h_pct_total,0.23107814036094085
meta_total_trades,0.21530243332145566
vol_168h_pct_total,0.21341431222393678
vol_12h_spike_ratio,0.20512034459520812
price_range,0.18037894795184528
vol_168h_spike_ratio,0.16009364839234624
dir_6h_abs_imbalance,0.15369380209587674
price_24h_move_zscore,0.14135673114396513
vol_6h_pct_total,0.1368989132161919
price_stdev,0.13238444785757902
vol_6h_spike_ratio,0.12320746716697184
meta_total_volume_usd,0.11360537871784174
wallet_2h_new_share,0.11268018887197336
dir_48h_signed_imbalance,0.11025471430255912
dir_2h_signed_imbalance,0.09930646773964502
price_as_of_6h_ago,0.08984855350920902
price_as_of_12h_ago,0.08320094239728011
price_as_of_168h_ago,0.08315308468214584
wallet_48h_unique,0.08207331640277211
wallet_2h_herfindahl,0.07676610946883328
wallet_24h_top1_share,0.07587971622198855
price_as_of_48h_ago,0.07278350348592474
wallet_24h_unique,0.07207041881448527
dir_24h_signed_imbalance,0.06906771752924878
wallet_12h_unique,0.06840036505414393
dir_168h_abs_imbalance,0.06640901817130358
price_as_of_24h_ago,0.06172239061924325
wallet_12h_herfindahl,0.05894792364250555
dir_6h_signed_imbalance,0.0583364236449889
wallet_24h_herfindahl,0.05651889277847484
wallet_2h_top1_share,0.054005358716957254
meta_window_trade_count,0.053612088814810284
vol_24h_trades,0.05347057578100599
dir_48h_sell_usd,0.05294867995584974
wallet_6h_unique,0.05172692086256264
vol_48h_trades,0.050335322725672434
vol_12h_trades,0.0499939627394668
wallet_6h_top1_share,0.04982829014544026
dir_24h_sell_usd,0.048781973775810034
dir_72h_sell_usd,0.046136697243890426
wallet_48h_top1_share,0.043243236896565375
dir_12h_sell_usd,0.04268120226043984
wallet_72h_top5_share,0.04212295082947029
wallet_12h_top1_share,0.04048271902846422
price_as_of_72h_ago,0.0399085318496881
vol_48h_usd,0.039864463306945555
vol_6h_trades,0.03956537891340934
vol_168h_trades,0.037413879981597405
dir_168h_signed_imbalance,0.037410478988526154
vol_24h_usd,0.035916303337059474
vol_72h_usd,0.035828804867034145
dir_48h_buy_usd,0.03535701469171715
wallet_6h_new_share,0.03392109467785197
vol_2h_spike_ratio,0.03372550186230821
vol_2h_pct_total,0.03330047511145985
dir_2h_sell_usd,0.03324208918049392
dir_6h_sell_usd,0.033159556429980135
wallet_24h_new_usd,0.033070824047758574
wallet_72h_unique,0.032638373755955935
wallet_6h_herfindahl,0.0320588269039899
dir_72h_buy_usd,0.03204029901676502
dir_24h_buy_usd,0.03160428136109397
vol_72h_trades,0.030429014098638626
vol_2h_usd,0.030414689923104178
vol_12h_usd,0.02983717242222252
dir_48h_net_usd,0.029010803250060484
wallet_48h_herfindahl,0.028977378911806226
price_as_of_2h_ago,0.027308509738640095
wallet_168h_top1_share,0.02673891584959447
dir_72h_net_usd,0.02668082714008432
wallet_6h_top5_share,0.026569591686947926
wallet_12h_new_usd,0.026018859405358894
dir_2h_buy_usd,0.025666140014721915
dir_12h_buy_usd,0.02557710445751478
dir_24h_net_usd,0.02555232309427785
vol_6h_usd,0.024860370903640114
price_change_48h,0.0242508435696044
dir_2h_abs_imbalance,0.024020901780237778
price_accel_2h_vs_6h,0.023979115629252038
price_last,0.02356603536107947
price_change_168h,0.022743184247197602
wallet_unique_total,0.022363283652441095
price_change_6h,0.021928548955680506
wallet_12h_top5_share,0.021866514387020117
wallet_168h_top5_share,0.021681890334079187
dir_6h_buy_usd,0.021010660334496032
wallet_72h_top1_share,0.02038275846407551
wallet_6h_new_usd,0.020136422621979396
dir_12h_net_usd,0.019646516163386717
wallet_2h_new_usd,0.018935794745901072
price_change_12h,0.01795786206566564
wallet_12h_new_share,0.01778608736163129
wallet_2h_top5_share,0.016977293616255523
dir_12h_signed_imbalance,0.016097779587432942
dir_72h_signed_imbalance,0.015931613584990036
dir_6h_net_usd,0.015017323322618377
wallet_48h_top5_share,0.013762251802886072
vol_2h_trades,0.012277936789641595
dir_168h_net_usd,0.01204261310406469
wallet_168h_unique,0.011437075069766886
price_change_72h,0.011239689095481837
wallet_2h_unique,0.011211410607178207
dir_168h_buy_usd,0.011188057066089208
dir_2h_net_usd,0.010856959751212529
vol_168h_usd,0.010295627679248909
wallet_24h_new_share,0.008303554976526538
wallet_168h_herfindahl,0.007958096556327574
price_change_24h,0.007516085780475796
vol_total_window_usd,0.005625716149813105
vol_daily_avg_usd,0.005485801806003123
wallet_72h_herfindahl,0.0038479160264637373
wallet_24h_top5_share,0.003411699714376443
price_change_2h,0.0021159625256309345
dir_168h_sell_usd,0.0016767404238308805
meta_outcome_slot_count,0.0
