incident_id,market_question,ts_lower,ts_upper,size_usd_approx,wallet_addrs,direction,outcome_resolved,confidence_tier,n_sources,top_source_url,top_quote
4f2e82d70e1ad4d8,"Will Nicolas Maduro exit office by January 31, 2026?",2026-01-03T00:00Z,2026-01-03T04:21:00Z,32707.4,,YES,YES,T1,5,https://fortune.com/2026/01/05/polymarket-user-400k-maduro-capture-bets-insider-trading-suspicion/,"one Polymarket account invested over $30,000 on Maduro's exit by Jan. 31, 2026. When U.S. forces seized the Venezuelan leader...the user netted $436,759.61, translating to a profit of more than $400,000."
8bac59718a8b8619,Will Nicolás Maduro be toppled/captured by end of January 2026?,2026-01-04T00:00Z,2026-01-03T16:21:00Z,400000.0,,YES,YES,T1,3,https://www.npr.org/2026/01/05/nx-s1-5667232/polymarket-maduro-bet-insider-trading,"a user wagered $32,000 that Maduro would be toppled by the end of January hours before Trump ordered the operation. When it was clear the U.S. had captured Maduro, the trader made more than $400,000 in profit."
6a554f485cb13acf,"Will there be US-Israeli strikes on Iran on February 28, 2026?",2026-02-22T00:00Z,2026-02-28T00:00Z,2000000.0,,YES,YES,T1,1,https://www.aljazeera.com/news/2026/3/25/large-polymarket-wall-street-bets-on-trumps-war-news-under-scrutiny,38 accounts that he believes belong to one person and netted more than $2m betting correctly on the February 28 strikes... cryptocurrency transfers on February 22 before bets were placed on February 27 between 11:00 and 12:00 GMT
fae99dbe840a69b3,Will the U.S. conduct strikes against Iran?,2025-03-25T00:00Z,2025-03-25T01:11Z,87000.0,,YES,YES,T1,1,https://qz.com/polymarket-iran-strike-insider-bet-prediction-markets,"An account called ""Magamyman"" placed an $87,000 bet on U.S. strikes against Iran roughly 71 minutes before news of the attacks broke publicly. The odds at the time sat at 17%. By the time the smoke cleared over Tehran, the position had turned into more than $553,000."
c78ad2552749a637,Will the U.S. and Iran agree to a cease-fire?,2025-04-07T00:00Z,2025-04-07T18:30Z,500000.0,,YES,YES,T1,1,https://time.com/article/2026/04/10/white-house-oil-prediction-markets-polymarket-bets-insider-trading-war/,"On April 7, at least 50 newly created Polymarket accounts placed substantial bets that the U.S. and Iran would agree to a cease-fire shortly before Trump announced the deal on Truth Social at around 6:30 p.m. E.T. The bets, which generated hundreds of thousands of dollars in profit..."
87940423ebecae33,Axiom-related prediction market (specific question not named in article),2025-01-01T00:00:00Z,2025-02-27T23:59:59Z,1200000.0,,,,T1,1,https://www.bitget.com/amp/news/detail/12560605226286,"Defioasis observed, 'There are strong indicators that three addresses—each exclusively trading this market and making upwards of $100,000—were acting with inside knowledge.' The eight addresses with the largest profits amassed $1.2 million."
