name,train_roc_auc,val_roc_auc,test_roc_auc,train_pr_auc,val_pr_auc,test_pr_auc,val_brier,test_brier,test_precision_at_k
logreg,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,0.0008284470784652306,2.4002670256090014e-05,"{5: 1.0, 10: 1.0, 18: 0.8333333333333334}"
randforest,1.0,1.0,1.0,1.0,1.0,1.0,0.002579568071180936,0.0017057028325896647,"{5: 1.0, 10: 1.0, 18: 0.8333333333333334}"
xgboost,1.0,1.0,1.0,1.0,1.0,1.0,0.001872122404165566,0.0034935837611556053,"{5: 1.0, 10: 1.0, 18: 0.8333333333333334}"
lightgbm,1.0,0.5,1.0,1.0,0.9333333333333333,1.0,0.06666303515353632,7.421218942032217e-10,"{5: 1.0, 10: 1.0, 18: 0.8333333333333334}"
isolation_forest,,1.0,1.0,,0.9999999999999998,1.0,,,"{5: 1.0, 10: 1.0, 18: 0.8333333333333334}"
