bucket,n,hits,hit_rate,ci_lo,ci_hi,p_value_vs_random,spike_median,spike_min,spike_max
0,51,29,0.5686274509803921,0.43265061235058067,0.694989719076657,0.2005309955139687,3.5963906675211215,0.003275116819001872,5.716606176099977
1,50,32,0.64,0.5014076201030195,0.7586143703281711,0.03245432353613609,6.738505211999993,5.755714908537842,6.990149801465836
2,113,84,0.7433628318584071,0.6557596067410855,0.8149631495375004,1.1003865310823406e-07,7.0,6.991192729848422,7.0
3,39,25,0.6410256410256411,0.484178631846895,0.772581153035089,0.05406451070302866,7.000000000000001,7.000000000000001,13.464993487786055
